interval_start_h,interval_end_h,f,growth_rate,status
36,38,0.5,4.738013973747951e-06,optimal
36,38,1.0,9.481015029299263e-06,optimal
36,38,2.0,1.7672071374173193e-05,optimal
36,38,5.0,4.399575747900183e-05,optimal
36,38,10.0,8.77179769100787e-05,optimal
38,40,0.0,0.0,optimal
38,40,0.1,1.6283038069922037e-09,optimal
38,40,0.5,8.236908071440206e-09,optimal
38,40,1.0,1.6454098894655764e-08,optimal
38,40,2.0,3.422334908563122e-08,optimal
38,40,5.0,8.492182898861356e-08,optimal
38,40,10.0,1.6133168910265212e-07,optimal
40,42,0.0,0.0,optimal
40,42,0.1,6.987385905547477e-07,optimal
40,42,0.5,3.03204607584068e-06,optimal
40,42,1.0,5.918941816060892e-06,optimal
40,42,2.0,1.1078512261857043e-05,optimal
40,42,5.0,2.7681926685054923e-05,optimal
40,42,10.0,5.509709623516066e-05,optimal
42,44,0.0,0.0,optimal
42,44,0.1,3.340386271810375e-08,optimal
42,44,0.5,1.4481898172516093e-07,optimal
42,44,1.0,2.7472287975603427e-07,optimal
42,44,2.0,5.29363907228453e-07,optimal
42,44,5.0,1.302083713735014e-06,optimal
42,44,10.0,2.3664233854817986e-06,optimal
44,46,0.0,0.0,optimal
44,46,0.1,3.7469542377894434e-06,optimal
44,46,0.5,1.5633479755875744e-05,optimal
44,46,1.0,3.1259834800819766e-05,optimal
44,46,2.0,6.227601884480997e-05,optimal
44,46,5.0,0.00015441735563623933,optimal
44,46,10.0,0.0003088347112724871,optimal
