metabolite,interval_start_h,interval_end_h,dC_dt_nM_per_hr,mean_pro_density_cells_per_mL,per_pro_cell_rate_nmol_per_hr,per_pro_cell_rate_nmol_per_hr_raw,cell_density_quality
2_keto_3_deoxy_6_phosphogluconate,18,20,0.6525184140000002,109666666.66666666,5.950015933130701e-12,5.950015933130701e-12,measured
2_keto_3_deoxy_6_phosphogluconate,20,22,0.9453840606666666,111666666.66666666,8.46612591641791e-12,8.46612591641791e-12,measured
2_keto_3_deoxy_6_phosphogluconate,22,24,-0.364130007,110366666.66666666,0.0,-3.2992752068861373e-12,measured
2_keto_3_deoxy_6_phosphogluconate,24,26,1.4197066238333331,111950000.0,1.2681613433080243e-11,1.2681613433080243e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,26,28,-1.5166711808333329,117583333.33333334,0.0,-1.2898691828490426e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,28,30,0.9524775613333332,119166666.66666669,7.992818696503495e-12,7.992818696503495e-12,measured
2_keto_3_deoxy_6_phosphogluconate,30,32,-0.5192569465000001,120000000.0,0.0,-4.327141220833334e-12,measured
2_keto_3_deoxy_6_phosphogluconate,32,34,2.1102886830000016,126166666.66666666,1.6726198280052856e-11,1.6726198280052856e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,34,36,-0.8753175903333346,154333333.3333333,0.0,-5.671604257019447e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,36,38,1.028379070666666,181666666.66666663,5.6608022238532085e-12,5.6608022238532085e-12,measured
2_keto_3_deoxy_6_phosphogluconate,38,40,-1.6736218236666662,191166666.66666663,0.0,-8.754778502179598e-12,measured
2_keto_3_deoxy_6_phosphogluconate,40,42,-3.2017068843333334,201166666.66666663,0.0,-1.5915692879867445e-11,measured
2_keto_3_deoxy_6_phosphogluconate,42,44,2.2641934021666663,205333333.3333333,1.1026915919642856e-11,1.1026915919642856e-11,measured
2_keto_3_deoxy_6_phosphogluconate,44,46,0.6897638678333333,202166666.6666667,3.411857549051937e-12,3.411857549051937e-12,measured
3-phosphoglycerate,0,2,0.4617899523333333,63955102.928434305,7.220533330234428e-12,7.220533330234428e-12,partial_estimate
3-phosphoglycerate,2,4,-0.4617899523333333,63955102.928434305,0.0,-7.220533330234428e-12,partial_estimate
3-phosphoglycerate,4,6,0.7805856815,63955102.928434305,1.2205213435016664e-11,1.2205213435016664e-11,partial_estimate
3-phosphoglycerate,6,8,-0.7805856815,63955102.928434305,0.0,-1.2205213435016664e-11,partial_estimate
3-phosphoglycerate,8,10,1.2641052401666668,63955102.928434305,1.976551021395743e-11,1.976551021395743e-11,partial_estimate
