sim_name,oxygen_flux,uptake,uptake_norm,co2,co2_norm,organic_c,organic_c_norm,biomass,biomass_norm,cue,gge
glc_medium_inf_o2_fba,-24.992962251144743,60.0,1,27.64141270529537,0.4606902117549228,0.029064118145763974,0.0004844019690960662,32.32952317655887,0.5388253862759812,0.5393097882450772,0.5388253862759811
glc_medium_inf_o2_pfba,-24.992962251145862,60.0,1,27.641412705296446,0.4606902117549408,0.02906411814576318,0.000484401969096053,32.32952317655779,0.5388253862759632,0.5393097882450593,0.5388253862759632
ace_medium_inf_o2_fba,-30.212575400822647,60.0,1,38.413546641019074,0.6402257773503179,0.019388708940210723,0.00032314514900351205,21.567064650040713,0.35945107750067856,0.35977422264968206,0.3594510775006785
ace_medium_inf_o2_pfba,-30.21257540082249,59.999999999999574,1,38.41354664101899,0.640225777350321,0.019388708940211018,0.00032314514900351926,21.567064650040372,0.3594510775006754,0.35977422264967895,0.3594510775006754
glc_heavy_mix_medium_inf_o2_fba,-27.3168559234523,60.001999999999995,1,30.766221687311305,0.5127532696795325,0.02625924633927608,0.000437639517670679,29.209519066349415,0.4868090908027969,0.4872467303204675,0.4868090908027969
glc_heavy_mix_medium_inf_o2_pfba,-27.316855923485733,60.001999999999796,1,30.766221687334877,0.5127532696799271,0.026259246339277682,0.00043763951767070717,29.20951906632564,0.48680909080240226,0.48724673032007293,0.4868090908024022
ace_heavy_mix_medium_inf_o2_fba,-28.721294308843063,59.998000000000005,1,34.5477341200038,0.5758147624921464,0.022859141767815463,0.0003809983960767936,25.427406738228388,0.42380423911177684,0.42418523750785364,0.4238042391117768
ace_heavy_mix_medium_inf_o2_pfba,-28.72129430890843,59.99800000000022,1,34.54773412004949,0.5758147624929059,0.022859141767818697,0.00038099839607684614,25.42740673818291,0.42380423911101733,0.42418523750709414,0.4238042391110173
glc_medium_real_o2_fba,-20.0,60.0,1,30.78994538687075,0.5131657564478459,0.026236141602573967,0.00043726902670956615,29.183818471526674,0.48639697452544456,0.4868342435521541,0.4863969745254446
glc_medium_real_o2_pfba,-20.0,60.00000000003103,1,30.78994538674674,0.5131657564455137,0.02623614160262256,0.0004372690267101499,29.183818471681665,0.4863969745277762,0.48683424355448635,0.4863969745277762
ace_medium_real_o2_fba,-20.0,56.99351944310509,1,42.05118955620825,0.7378240538064451,0.020866748783542905,0.0003661249381936055,14.9214631381133,0.26180982125536123,0.2621759461935549,0.26180982125536134
ace_medium_real_o2_pfba,-20.0,56.993519443098954,1,42.05118955620889,0.7378240538065358,0.020866748777091743,0.00036612493808045376,14.921463138112973,0.2618098212553837,0.2621759461934642,0.26180982125538366
glc_heavy_mix_medium_real_o2_fba,-20.0,60.001999999999995,1,35.48076053558151,0.5913262980497569,0.022024700719562428,0.0003670661097890475,24.499214763698923,0.40830663584045407,0.4086737019502431,0.408306635840454
glc_heavy_mix_medium_real_o2_pfba,-20.0,60.00199999999498,1,35.480760535621144,0.5913262980504669,0.02202470071954385,0.00036706610978876856,24.49921476365429,0.40830663583974436,0.4086737019495331,0.40830663583974436
ace_heavy_mix_medium_real_o2_fba,-20.0,59.998000000000005,1,40.16720801102982,0.6694757827099206,0.017811793699176695,0.00029687312409041455,19.812980195271006,0.3302273441659889,0.3305242172900794,0.330227344165989
ace_heavy_mix_medium_real_o2_pfba,-20.0,59.99799999997248,1,40.1672080110902,0.6694757827112342,0.01781179369914109,0.00029687312408995735,19.812980195183133,0.33022734416467586,0.3305242172887658,0.3302273441646759
