cycle,iSO595v6,iHS4156
190,1.3763276714e-07,1e-10
191,1.3763276714e-07,1e-10
192,1.3763276714e-07,1e-10
193,1.3763276714e-07,1e-10
194,1.3763276714e-07,1e-10
195,1.3763276714e-07,1e-10
196,1.3763276714e-07,1e-10
197,1.3763276714e-07,1e-10
198,1.3763276714e-07,1e-10
199,1.3763276714e-07,1e-10
200,1.3763276714e-07,1e-10
201,1.3763276714e-07,1e-10
202,1.3763276714e-07,1e-10
203,1.3763276714e-07,1e-10
204,1.3763276714e-07,1e-10
205,1.3763276714e-07,1e-10
206,1.3763276714e-07,1e-10
207,1.3763276714e-07,1e-10
208,1.3763276714e-07,1e-10
209,1.3763276714e-07,1e-10
210,1.3763276714e-07,1e-10
211,1.3763276714e-07,1e-10
212,1.3763276714e-07,1e-10
213,1.3763276714e-07,1e-10
214,1.3763276714e-07,1e-10
215,1.3763276714e-07,1e-10
216,1.3763276714e-07,1e-10
217,1.3763276714e-07,1e-10
218,1.3763276714e-07,1e-10
219,1.3763276714e-07,1e-10
220,1.3763276714e-07,1e-10
221,1.3763276714e-07,1e-10
222,1.3763276714e-07,1e-10
223,1.3763276714e-07,1e-10
224,1.3763276714e-07,1e-10
225,1.3763276714e-07,1e-10
226,1.3763276714e-07,1e-10
227,1.3763276714e-07,1e-10
228,1.3763276714e-07,1e-10
229,1.3763276714e-07,1e-10
230,1.3763276714e-07,1e-10
231,1.3763276714e-07,1e-10
232,1.3763276714e-07,1e-10
233,1.3763276714e-07,1e-10
234,1.3763276714e-07,1e-10
235,1.3763276714e-07,1e-10
236,1.3763276714e-07,1e-10
237,1.3763276714e-07,1e-10
238,1.3763276714e-07,1e-10
239,1.3763276714e-07,1e-10
240,1.3763276714e-07,1e-10
241,1.3763276714e-07,1e-10
242,1.3763276714e-07,1e-10
243,1.3763276714e-07,1e-10
244,1.3763276714e-07,1e-10
245,1.3763276714e-07,1e-10
246,1.3763276714e-07,1e-10
247,1.3763276714e-07,1e-10
248,1.3763276714e-07,1e-10
249,1.3764435604e-07,1e-10
250,1.3767347772e-07,1e-10
251,1.3772002995e-07,1e-10
252,1.3778389869e-07,1e-10
253,1.3786496492e-07,1e-10
254,1.3796309859e-07,1e-10
255,1.3807816039e-07,1e-10
256,1.3821000176e-07,1e-10
257,1.3835846493e-07,1e-10
258,1.3852338286e-07,1e-10
259,1.3870457928e-07,1e-10
260,1.3890186867e-07,1e-10
261,1.3911505628e-07,1e-10
262,1.3934393813e-07,1e-10
263,1.39588301e-07,1e-10
264,1.3984792244e-07,1e-10
265,1.401225708e-07,1e-10
266,1.404120052e-07,1e-10
267,1.4071597559e-07,1e-10
268,1.4103422277e-07,1e-10
269,1.4136647837e-07,1e-10
270,1.4171246494e-07,1e-10
271,1.4207189597e-07,1e-10
272,1.4244447589e-07,1e-10
273,1.428299002e-07,1e-10
274,1.4322785547e-07,1e-10
275,1.4363801946e-07,1e-10
276,1.4406006114e-07,1e-10
277,1.4449364082e-07,1e-10
278,1.4493841024e-07,1e-10
279,1.4539401267e-07,1e-10
280,1.4586008301e-07,1e-10
281,1.4633624797e-07,1e-10
282,1.4682212615e-07,1e-10
283,1.4731732823e-07,1e-10
284,1.4782145712e-07,1e-10
285,1.4833410814e-07,1e-10
286,1.4885486919e-07,1e-10
287,1.4938332096e-07,1e-10
288,1.4991903715e-07,1e-10
289,1.5046158466e-07,1e-10
290,1.5101052386e-07,1e-10
291,1.5156540881e-07,1e-10
292,1.5212578755e-07,1e-10
293,1.5269120233e-07,1e-10
294,1.532611899e-07,1e-10
295,1.5383528183e-07,1e-10
296,1.544130048e-07,1e-10
297,1.5499388089e-07,1e-10
298,1.5557742793e-07,1e-10
299,1.5616315985e-07,1e-10
300,1.5675058697e-07,1e-10
301,1.5733921642e-07,1e-10
302,1.5792855245e-07,1e-10
303,1.5851809684e-07,1e-10
304,1.5910734924e-07,1e-10
305,1.5969580759e-07,1e-10
306,1.6028296851e-07,1e-10
307,1.6086832767e-07,1e-10
308,1.6145138022e-07,1e-10
309,1.6203162122e-07,1e-10
310,1.6260854599e-07,1e-10
311,1.6318165061e-07,1e-10
312,1.6375043228e-07,1e-10
313,1.6431438977e-07,1e-10
314,1.6487302383e-07,1e-10
315,1.6542583767e-07,1e-10
316,1.6597233731e-07,1e-10
317,1.6651203209e-07,1e-10
318,1.6704443502e-07,1e-10
319,1.6756906329e-07,1e-10
320,1.6808543863e-07,1e-10
321,1.6859308777e-07,1e-10
322,1.6909154286e-07,1e-10
323,1.6958034188e-07,1e-10
324,1.7005902905e-07,1e-10
325,1.7052715526e-07,1e-10
326,1.7098427847e-07,1e-10
327,1.714299641e-07,1e-10
328,1.7186378543e-07,1e-10
329,1.72285324e-07,1e-10
330,1.7269416997e-07,1e-10
331,1.7308992254e-07,1e-10
332,1.7347219025e-07,1e-10
333,1.7384059139e-07,1e-10
334,1.7419475435e-07,1e-10
335,1.7453431792e-07,1e-10
336,1.7485893168e-07,1e-10
337,1.7516825628e-07,1e-10
338,1.7546196376e-07,1e-10
339,1.7573973788e-07,1e-10
340,1.760012744e-07,1e-10
341,1.7624628132e-07,1e-10
342,1.7647447922e-07,1e-10
343,1.7668560149e-07,1e-10
344,1.7687939454e-07,1e-10
345,1.7705561812e-07,1e-10
346,1.7721404546e-07,1e-10
347,1.7735446354e-07,1e-10
348,1.7747667325e-07,1e-10
349,1.775804896e-07,1e-10
350,1.7766574192e-07,1e-10
351,1.7773227394e-07,1e-10
352,1.7777994588e-07,1e-10
353,1.7780862836e-07,1e-10
354,1.7781821301e-07,1e-10
355,1.7781821301e-07,1e-10
356,1.7781821301e-07,1e-10
357,1.7781821301e-07,1e-10
358,1.7781821301e-07,1e-10
359,1.7781821301e-07,1e-10
360,1.7781821301e-07,1e-10
361,1.7781821301e-07,1e-10
362,1.7781821301e-07,1e-10
363,1.7781821301e-07,1e-10
364,1.7781821301e-07,1e-10
365,1.7781821301e-07,1e-10
366,1.7781821301e-07,1e-10
367,1.7781821301e-07,1e-10
368,1.7781821301e-07,1e-10
369,1.7781821301e-07,1e-10
370,1.7781821301e-07,1e-10
371,1.7781821301e-07,1e-10
372,1.7781821301e-07,1e-10
373,1.7781821301e-07,1e-10
374,1.7781821301e-07,1e-10
375,1.7781821301e-07,1e-10
376,1.7781821301e-07,1e-10
377,1.7781821301e-07,1e-10
378,1.7781821301e-07,1e-10
379,1.7781821301e-07,1e-10
380,1.7781821301e-07,1e-10
381,1.7781821301e-07,1e-10
382,1.7781821301e-07,1e-10
383,1.7781821301e-07,1e-10
384,1.7781821301e-07,1e-10
385,1.7781821301e-07,1e-10
386,1.7781821301e-07,1e-10
387,1.7781821301e-07,1e-10
388,1.7781821301e-07,1e-10
389,1.7781821301e-07,1e-10
390,1.7781821301e-07,1e-10
391,1.7781821301e-07,1e-10
392,1.7781821301e-07,1e-10
393,1.7781821301e-07,1e-10
394,1.7781821301e-07,1e-10
395,1.7781821301e-07,1e-10
396,1.7781821301e-07,1e-10
397,1.7781821301e-07,1e-10
398,1.7781821301e-07,1e-10
399,1.7781821301e-07,1e-10
400,1.7781821301e-07,1e-10
401,1.7781821301e-07,1e-10
402,1.7781821301e-07,1e-10
403,1.7781821301e-07,1e-10
404,1.7781821301e-07,1e-10
405,1.7781821301e-07,1e-10
406,1.7781821301e-07,1e-10
407,1.7781821301e-07,1e-10
408,1.7781821301e-07,1e-10
409,1.7781821301e-07,1e-10
410,1.7781821301e-07,1e-10
411,1.7781821301e-07,1e-10
412,1.7781821301e-07,1e-10
413,1.7781821301e-07,1e-10
414,1.7781821301e-07,1e-10
415,1.7781821301e-07,1e-10
416,1.7781821301e-07,1e-10
417,1.7781821301e-07,1e-10
418,1.7781821301e-07,1e-10
419,1.7781821301e-07,1e-10
420,1.7781821301e-07,1e-10
