,w_c,growth_rate,phi_C,phi_E,phi_R,flux_PFK,flux_EDD,flux_glc
0,0.0,0.7420603047913107,0.0,0.3777595770156166,0.19215025181452283,0.0,7.438665947315166,8.79703775970814
1,0.0001020304050607081,0.7406437454747712,0.0008959132676291005,0.37706789786454453,0.19190943673071112,0.0,7.425067193547628,8.780845936032813
2,0.00021018263442505869,0.7391478748535172,0.0018419875481912541,0.37633749250179516,0.19165513872509793,0.0,7.4107070633297445,8.763747553311884
3,0.00033057851239669424,0.7374952938415218,0.002874160885882209,0.37534114864531665,0.1913741999530587,0.0,7.204952396460788,8.69433667979368
4,0.00046933986327925726,0.7356037546841432,0.00407051199425999,0.37441803163850695,0.19105263829630437,0.0,7.187280941660737,8.672845229509164
5,0.0006325885113763904,0.7334174778827285,0.005239735973662633,0.3727812225046301,0.19068097124006383,0.0,6.940457668533158,8.283008431914105
6,0.0008264462809917355,0.7310248425973269,0.006489959344405979,0.3704394744507778,0.19027422324154558,0.20293811159858527,6.311741748739695,7.852850806731234
7,0.001057034996428936,0.7282133262840941,0.008269301386909494,0.3690697361203181,0.189796265468296,0.20354217049743983,6.286543796859921,7.823110317866789
8,0.0013304764819916338,0.7249067922096916,0.010361928438686292,0.3674588308442615,0.18923415467564758,0.20425258477539998,6.256909294615237,7.78813348370892
9,0.001652892561983471,0.7210458282068506,0.01280544105233334,0.36557781369976405,0.18857779079516462,0.20508211923440325,6.222305766015713,7.74729183666167
10,0.0020304050607080916,0.7165762307634232,0.015634143346082405,0.3634002773606835,0.18781795922978195,0.20604241958809705,6.182247417155586,7.700012006781588
11,0.002469135802469136,0.7114843650624804,0.018565724448184762,0.35598628272284916,0.18695234206062167,1.9320885961292853,2.8805976594179667,7.519118401514828
12,0.0029752066115702478,0.705755426341349,0.02219412416368533,0.353240825493903,0.18597842247802934,1.9173697203356381,2.8593592764772295,7.459691732794236
13,0.003554739312315071,0.6993050981085865,0.026279412951691443,0.3501496595489148,0.18488186667845974,1.90079743972534,2.8354465506182427,7.392782041892301
14,0.004213855729007246,0.6921082037527311,0.030837536315252816,0.34670071959738613,0.1836583946379643,1.8823070701684692,2.8087661468374816,7.318128170116046
15,0.0049586776859504135,0.6841484472682281,0.03587881526230305,0.34288619616735166,0.18230523603559878,1.861856743721419,2.7792576524089943,7.23556107789778
16,0.00579532700744822,0.6754188639736013,0.04140766084513201,0.3387027516013488,0.18082120687551223,1.8394285666195656,2.746895247790993,7.145008520125684
17,0.0067299255178043076,0.6659220869364338,0.04742240542124342,0.3341516477342087,0.17920675477919376,1.815029303779865,2.711688694319789,7.0464978097878515
18,0.007768595041322315,0.6556704066148427,0.053915264879662764,0.3292387744748249,0.17746396912452328,1.7886905320328448,2.6736835553131755,6.94015643663744
19,0.00891745740230589,0.6446856100972979,0.06087244045775494,0.3239745727656486,0.17559655371654065,1.760468227094772,2.632960600098788,6.826210399616201
20,0.010182634425058672,0.6329985964285454,0.06827436237293581,0.3183738502368431,0.17360976139285272,1.7304417752577195,2.5896343779459055,6.704980216604645
21,0.011570247933884299,0.6206487751686328,0.07609607074286892,0.31245549298000685,0.17151029177866758,1.6987124281576844,2.5438509883975153,6.576874685633671
22,0.013086419753086423,0.607753206110067,0.08302803120345952,0.307260029221886,0.1693180450387114,1.680211616580018,2.4121618371683238,6.34459483724549
23,0.014737271706968681,0.5944251575633844,0.09149638804680255,0.30085129128567967,0.16705227678577536,1.6456481418868516,2.364591500347084,6.208502487169146
24,0.01652892561983471,0.5805926408634411,0.10028527315975151,0.29419998188973806,0.164700748946785,1.6097764357457578,2.315220620867075,6.067259026164966
25,0.018467503315988166,0.566317677508402,0.10935527940955234,0.2873359238192029,0.16227400517642837,1.5727573377931447,2.2642705652357105,5.921497754105096
26,0.020559126619732686,0.5516655590074179,0.11866492196844361,0.2802905122306998,0.15978314503126106,1.534760167747294,2.2119743712507325,5.771885360857149
27,0.022809917355371908,0.536703616376377,0.12817142014974842,0.2730961229693508,0.1572396147839841,1.495959534355316,2.1585723560971863,5.619109361637519
28,0.02522599734720948,0.5215000140679656,0.13783146371882385,0.2657855326350311,0.15465500239155416,1.4565322077074871,2.1043078116534026,5.463865781864552
29,0.027813488419549028,0.506122604833678,0.1476019404893654,0.2583913679472963,0.15204084282172525,1.416654149561685,2.049422917278067,5.306847464182942
30,0.030578512396694214,0.4906378765516964,0.1574406054863246,0.2509455993319595,0.1494084390137884,1.3764977821662616,1.9941549808371466,5.148733314552778
31,0.03352719110294868,0.47511001545600307,0.16730667615012743,0.24347909047857946,0.14676870262752054,1.3362295589421662,1.9387330951913522,4.990178736906265
32,0.036665646362616065,0.4596001030255317,0.17716134261612396,0.23602121216787406,0.1441320175143404,1.2960078817847989,1.8833752717408636,4.831807432604159
33,0.040000000000000015,0.44416920864873083,0.18686273240172757,0.22841263143308685,0.14150876547028424,1.4967113769773954,2.0663450649667165,4.671568310043187
34,0.043536373839404154,0.4290300761825499,0.19335450443180632,0.22014799295530554,0.1389351129510335,2.541648703499068,0.0,4.44121747817233
35,0.04728088970513215,0.41414381548818113,0.20291409345230998,0.21302800957346876,0.13640444863299078,2.4552815265471954,0.0,4.291672485813745
36,0.05123966942148761,0.39945846656032574,0.21234466189762197,0.2060041207360011,0.13390793931525538,2.370080000422365,0.0,4.1441458209052024
37,0.055418834812774216,0.3850127143933398,0.22162136721964396,0.19909482917657087,0.13145216144686778,2.2862685679058643,0.0,3.9990261067083916
38,0.0598245077032956,0.37084047418527477,0.23072242991567796,0.19231635627215676,0.1290428806114967,2.204043998352454,0.0,3.856654049874747
39,0.06446280991735538,0.35697095619380703,0.23962909187955592,0.1856826730631369,0.1266850625529472,2.123575763971786,0.0,3.717323091977726
40,0.06933986327925724,0.3434288089899079,0.24832552440766922,0.17920556877040733,0.12438289752828435,2.0450068709581934,0.0,3.581280848616194
41,0.07446178961330478,0.33023432577282896,0.2567986957085649,0.17289474947426042,0.12213983538138093,1.9684550564902106,0.0,3.4487311820219837
42,0.07983471074380166,0.3174036997380421,0.2650382079657692,0.1667579592010885,0.11995862895546716,1.8940142703249392,0.0,3.319836766444935
43,0.08546474849505153,0.3049493104025126,0.27303610921027277,0.1608011211270432,0.11784138276842715,1.821756336001891,0.0,3.194721964531163
44,0.09135802469135805,0.29288003984807653,0.2807866966848588,0.15502848238677827,0.11578960677417302,1.751732785625027,0.0,3.073476004253183
45,0.09752066115702482,0.2812015930451794,0.2882863067984011,0.14944277162352793,0.1138042708176805,1.6839767183186287,0.0,2.9561561968310617
46,0.10395877971635552,0.26991682475347506,0.2955331062947586,0.14404535424674472,0.11188586020809077,1.6185046968404904,0.0,2.8427912207232584
47,0.11067850219365374,0.2590260609447481,0.3025268858428994,0.1388363861662157,0.11003443036060719,1.5553186124153195,0.0,2.733384350590228
48,0.11768595041322315,0.2485274097009471,0.3092688603858708,0.13381496249217156,0.10824965964916101,1.4944074885041003,0.0,2.627916580526009
49,0.12498724619936744,0.23841705716814865,0.31576147908647256,0.1289792590877839,0.10653089971858527,1.435749197871288,0.0,2.526349597164504
