Pathway.Number,Metabolite,Broad.pathway.description,Kind.of.Metabolism..Synthesis..Degradation..Transport.,Subpathway,Step,StepName,Enzyme,Step.description,Name,Definition,KEGG.Reaction,KEGG.Enzyme,KO,Category.of.Metabolism,Gene,EnzymeName,Diagnostic,DeltaGm,DeltaG0,ATP.Requirement,ATP.Creation,O2.Requirement,NAD..NADP..Req.,NADH.NADPH.Requirement,FAD.Req.,FADH2.Requirement,Notes,Gene.Call.ID,Inferred Presence
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,4,Xanthine dehydrogenase,1,xanthine dehydrogenase iron-sulfur-binding subunit,xanthine:NAD+ oxidoreductase,Xanthine + NAD+ + H2O <=> Urate + NADH + H+,R02103,1.17.1.4,K13480,Nucleotide Degradation,ygeU,Xanthine dehydrogenase 1,0,-25.9,-25.9,,,,1,,,,,2830,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,4,Xanthine dehydrogenase,1,xanthine dehydrogenase small subunit,xanthine:NAD+ oxidoreductase,Xanthine + NAD+ + H2O <=> Urate + NADH + H+,R02103,1.17.1.4,K13481,Nucleotide Degradation,xdhA,Xanthine dehydrogenase 1,0,-25.9,-25.9,,,,1,,,,,1511,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,4,Xanthine dehydrogenase,1,xanthine dehydrogenase large subunit,xanthine:NAD+ oxidoreductase,Xanthine + NAD+ + H2O <=> Urate + NADH + H+,R02103,1.17.1.4,K13482,Nucleotide Degradation,xdhB,Xanthine dehydrogenase 1,0,-25.9,-25.9,,,,1,,,,,1510,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,4,Xanthine dehydrogenase,1,xanthine dehydrogenase YagT iron-sulfur-binding subunit,xanthine:NAD+ oxidoreductase,Xanthine + NAD+ + H2O <=> Urate + NADH + H+,R02103,1.17.1.4,K13483,Nucleotide Degradation,yagT,Xanthine dehydrogenase 1,0,-25.9,-25.9,,,,1,,,,,2830,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,5,Phosphopentomutase,1,phosphopentomutase,"D-Ribose 1,5-phosphomutase",alpha-D-Ribose 1-phosphate <=> D-Ribose 5-phosphate,R01057,5.4.2.7,K01839,Nucleotide Degradation,deoB,Phosphopentomutase 1,0,-11.5,-11.5,,,,,,,,,,1
63,Agar,Agar Degradation,Degradation,1,1,Beta-agarase,1,,hydrolase,,,3.2.1.81,K01219,Oligosaccharide,agaB,Beta-agarase,1,,,,,,,,,,,2808,1
63,Agar,Agar Degradation,Degradation,1,2,Alpha-agarase,1,,hydrolase,,,3.2.1.158,K20851,Oligosaccharide,agaA,Alpha-agarase,1,,,,,,,,,,,,0
35,Alanine,Alanine Degradation,Degradation,1,1,D-amino-acid Oxidase 1,1,amine transfer,L-Alanine:glyoxylate aminotransferase,L-Alanine + Glyoxylate <=> Pyruvate + Glycine,R00369,2.6.1.44,K00830,Amino Acid Catabolism,agxt,D-amino-acid Oxidase 1.1,0,-8.4,-8.4,,,,,,,,,1940,1
35,Alanine,Alanine Degradation,Degradation,1,1,D-amino-acid Oxidase 1,2,amine transfer,L-Alanine:glyoxylate aminotransferase,L-Alanine + Glyoxylate <=> Pyruvate + Glycine,R00369,2.6.1.44,K00827,Amino Acid Catabolism,agxt2,D-amino-acid Oxidase 1.2,0,-8.4,-8.4,,,,,,,,,421,1
35,Alanine,Alanine Degradation,Degradation,1,2,D-amino-acid Oxidase 2,1,deamination and oxidation,D-amino-acid oxidase,,,1.4.3.3,K00273,Amino Acid Catabolism,dao,D-amino-acid Oxidase 2,0,-104.5,-87.4,,,1,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,1,Alginate Lyase,1,,,,,,algpulpl61,Oligosaccharide,algpul_pl6_1,Alginate Lyase 1,1,,,,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,1,Alginate Lyase,2,,,,,,algpulpl62,Oligosaccharide,algpul_pl6_2,Alginate Lyase 2,1,,,,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,1,Alginate Lyase,3,,,,,,algpulpl71,Oligosaccharide,algpul_pl7_1,Alginate Lyase 3,1,,,,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,1,Alginate Lyase,4,,,,,,algpulpl72,Oligosaccharide,algpul_pl7_2,Alginate Lyase 4,1,,,,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,1,Alginate Lyase,5,β elimination reaction,alginate lyase,(Alginate)n <=> Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group,R03706,4.2.2.11;4.2.2.3,K01729,Oligosaccharide,algL,Alginate Lyase 5,1,,,,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,2,Oligosaccharide transporter,1,Transport of the oligosaccharide,ABC-type oligosaccharide transporter,,,,algm1,Oligosaccharide,algM1,Oligosaccharide transporter 1,1,,,1,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,2,Oligosaccharide transporter,1,Transport of the oligosaccharide,ABC-type oligosaccharide transporter,,,,algm2,Oligosaccharide,algM2,Oligosaccharide transporter 1,1,,,1,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,3,Oligomeric Alginate Lyase,1,,,,,,algpul17,Oligosaccharide,algpul_17,Oligomeric Alginate Lyase,1,,,,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,4,Dimer Transporter,1,Transport of small oligosaccharide,,,,,algpulmfs,Oligosaccharide,algpul_mfs,Dimer Transporter,0,,,,,,,,,,,1595,0
1,Alginate,Alginate Degradation,Degradation,1,5,Dimer Lyase,1,,,,,,algpulkdgf,Oligosaccharide,algpul_kdgf,Dimer Lyase 1,1,,,,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,5,Dimer Lyase,2,Cleavage to monosaccharide,oligo-alginate lyase,Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group <=> 4-deoxy-L-erythro-hex-4-enopyranuronate,,4.2.2.26,K20525,Oligosaccharide,alg17,Dimer Lyase 2,1,,,,,,,,,,,,0
1,Alginate,Alginate Degradation,Degradation,1,6,DEH reductase,1,,,,,,algpuldehr,Oligosaccharide,algpul_dehr,DEH reductase 1,0,-11.2,-11.2,,,,,1,,,,3218,1
1,Alginate,Alginate Degradation,Degradation,1,6,DEH reductase,2,Reduction,2-Dehydro-3-deoxy-D-gluconate:NADP+ 6-oxidoreductase,"2-Dehydro-3-deoxy-D-gluconate + NADP+ <=> (4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate + NADPH + H+",R01543,1.1.1.126,a1,Oligosaccharide,a1-R,DEH reductase 2,0,-11.2,-11.2,,,,,1,,,,3196,1
1,Alginate,Alginate Degradation,Degradation,1,7,KDG kinase,1,Phosphorylation,"ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase""","ATP + 2-Dehydro-3-deoxy-D-gluconate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate""",R01541,2.7.1.45,K00874,Oligosaccharide,kdgK,KDG kinase 1,0,-22.6,-22.6,1,,,,,,,,2350,1
1,Alginate,Alginate Degradation,Degradation,1,7,KDG kinase,2,Phosphorylation,ATP:2-dehydro-3-deoxy-D-galactonate 6-phosphotransferase,ATP + 2-Dehydro-3-deoxy-D-galactonate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-galactonate,R03387,2.7.1.178,K18126,Oligosaccharide,sskdgK,KDG kinase 2,0,,,1,,,,,,,,3194,1
1,Alginate,Alginate Degradation,Degradation,1,7,KDG kinase,3,,,,,,algpulkdgk,Oligosaccharide,algpul_kdgk,KDG kinase 3,0,,,1,,,,,,,,3194,1
1,Alginate,Alginate Degradation,Degradation,1,8,2-dehydro-3-deoxyphosphogluconate aldolase,1,,,,,,algpuleda,Oligosaccharide,algpul_eda,2-dehydro-3-deoxyphosphogluconate aldolase,0,,,,,,,,,,,2320,1
1,Alginate,Alginate Degradation,Degradation,1,9,Transcriptional regulator,1,,,,,,algpulreg,Oligosaccharide,algpul_reg,Transcriptional regulator,1,,,,,,,,,,,2901,1
5,Citrate,Anaerobic TCA,Misc.,1,1,Fumarase,1,Fumarase B,fumB,,,,K01676;K01677,TCA,fumA,Fumarase B,1,,,0,,,,,,,,,1
5,Citrate,Anaerobic TCA,Misc.,1,1,Fumarase B,1,Fumarase B,,,,,K01676;K01677;K01678,TCA,fumB,Fumarase B,1,,,0,,,,,,,,,1
5,Citrate,Anaerobic TCA,Misc.,1,1,Fumarase,1,Fumarase B,fumB,,,,K01679,TCA,fumC,Fumarase B,1,,,0,,,,,,,,3061,1
5,Citrate,Anaerobic TCA,Misc.,1,2,Fumarate reductase,1,Fumarate reductase,frdABCD,,,,K00244,TCA,frdA,Fumarate reductase,1,,,0,,,,,,,,1867,1
5,Citrate,Anaerobic TCA,Misc.,1,2,Fumarate reductase,1,Fumarate reductase,frdABCD,,,,K00245,TCA,frdB,Fumarate reductase,1,,,0,,,,,,,,1868,1
5,Citrate,Anaerobic TCA,Misc.,1,2,Fumarate reductase,1,Fumarate reductase,frdABCD,,,,K00246,TCA,frdC,Fumarate reductase,1,,,0,,,,,,,,,1
5,Citrate,Anaerobic TCA,Misc.,1,2,Fumarate reductase,1,Fumarate reductase,frdABCD,,,,K00247,TCA,frdD,Fumarate reductase,1,,,0,,,,,,,,,1
5,Citrate,Anaerobic TCA,Misc.,1,3,Aspartase,1,Aspartase,aspA,,,,K01437,TCA,aspA,Aspartase,0,,,0,,,,,,,,2912,1
36,Arginine,Arginine Degradation,Degradation,1,1,Arginine succinyltransferase,1,,succinyl-CoA:L-arginine N2-succinyltransferase,Succinyl-CoA + L-Arginine <=> CoA + N2-Succinyl-L-arginine,R00832,2.3.1.109,K00673,Amino Acid Catabolism,astA,Arginine succinyltransferase,1,-8.6,-8.6,,,,,,,,,420,1
36,Arginine,Arginine Degradation,Degradation,1,2,Succinylarginine dihydrolase,1,,N2-succinyl-L-arginine iminohydrolase (decarboxylating),N2-Succinyl-L-arginine + 2 H2O <=> N2-Succinyl-L-ornithine + CO2 + 2 Ammonia,R04189,3.5.3.23,K01484,Amino Acid Catabolism,astB,Succinylarginine dihydrolase,1,-133.5,-82.2,,,,,,,,,1636,1
36,Arginine,Arginine Degradation,Degradation,1,3,Succinylornithine aminotransferase,1,,N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase,N2-Succinyl-L-ornithine + 2-Oxoglutarate <=> N-Succinyl-L-glutamate 5-semialdehyde + L-Glutamate,R04217,2.6.1.81,K00840,Amino Acid Catabolism,astC,Succinylornithine aminotransferase,1,-0.8,-0.8,,,,,,,,,421,1
36,Arginine,Arginine Degradation,Degradation,1,4,Succinylglutamic semialdehyde dehydrogenase,1,,N-succinyl-L-glutamate 5-semialdehyde:NAD+ oxidoreductase,N-Succinyl-L-glutamate 5-semialdehyde + NAD+ + H2O <=> N-Succinyl-L-glutamate + NADH + H+,R05049,1.2.1.71,K06447,Amino Acid Catabolism,astD,Succinylglutamic semialdehyde dehydrogenase,1,-47.3,-47.3,,,,1,,,,,419,1
36,Arginine,Arginine Degradation,Degradation,1,5,Succinylglutamate desuccinylase,1,,"	
N-succinyl-L-glutamate amidohydrolase",N-Succinyl-L-glutamate + H2O <=> L-Glutamate + Succinate,R00411,3.5.1.96,K05526,Amino Acid Catabolism,astE,Succinylglutamate desuccinylase,1,-19.4,-2.3,,,,,,,,,1475,1
36,Arginine,Arginine Degradation,Degradation,1,6,Glutamate 5-kinase,1,,ATP:L-glutamate 5-phosphotransferase,ATP + L-Glutamate <=> ADP + L-Glutamyl 5-phosphate,R00239,2.7.2.11,K00931,Amino Acid Catabolism,proB,Glutamate 5-kinase,0,28.9,28.9,1,,,,,,,,1806,1
36,Arginine,Arginine Degradation,Degradation,1,7,Glutamate-5-semialdehyde dehydrogenase,1,,L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating),L-Glutamate 5-semialdehyde + Orthophosphate + NADP+ <=> L-Glutamyl 5-phosphate + NADPH + H+,R03313,1.2.1.41,K00147,Amino Acid Catabolism,proA,Glutamate-5-semialdehyde dehydrogenase,0,-24.7,-7.6,,,,,1,,,,1807,1
36,Arginine,Arginine Degradation,Degradation,1,8,1-pyrroline-5-carboxylate dehydrogenase,1,,L-glutamate gamma-semialdehyde:NAD+ oxidoreductase,L-Glutamate 5-semialdehyde + NAD+ + H2O <=> L-Glutamate + NADH + H+,R00245,1.2.1.88,K00294,Amino Acid Catabolism,aldh4A1,1-pyrroline-5-carboxylate dehydrogenase,0,,,,,,1,,,,,3212,1
36,Arginine,Arginine Degradation,Degradation,1,9,Ornithine-oxo-acid transaminase,1,,L-Ornithine:2-oxo-acid aminotransferase,L-Ornithine + 2-Oxoglutarate <=> L-Glutamate 5-semialdehyde + L-Glutamate,R00667,2.6.1.13,K00819,Amino Acid Catabolism,oat,Ornithine-oxo-acid transaminase,1,4.3,4.3,,,,,,,,,421,1
36,Arginine,Arginine Degradation,Degradation,1,3,Acetylornithine aminotransferase,2,,N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase,N2-succinyl-L-ornithine + 2-oxoglutarate = N-succinyl-L-glutamate 5-semialdehyde + L-glutamate,R04217,2.6.1.81,argD,Amino Acid Catabolism,argD,Acetylornithine aminotransferase,1,-0.8,-0.8,,,,,,,,,421,1
37,Asparagine,Asparagine Degradation,Degradation,1,1,L-asparaginase,1,L-asparaginase,L-asparagine amidohydrolase,L-Asparagine + H2O <=> L-Aspartate + Ammonia,R00485,3.5.1.1,K13051,Amino Acid Catabolism,asrgl1,L-asparaginase 1,1,-34.6,-17.5,,,,,,,,,1614,1
37,Asparagine,Asparagine Degradation,Degradation,1,1,L-asparaginase,2,L-asparaginase,L-asparagine amidohydrolase,L-Asparagine + H2O <=> L-Aspartate + Ammonia,R00485,3.5.1.1,K01424,Amino Acid Catabolism,asp,L-asparaginase 2,1,-34.6,-17.5,,,,,,,,,1767,1
114,Protein Degradation,Asparagine Protease 6,Degradation,1,1,Asparagine Protease 6,1,,,,,,np6,Protein Degradation,np6,Asparagine Protease 6,1,,,,,,,,,,,1070,1
38,Aspartate,Aspartate Degradation,Degradation,1,1,Aspartate racemase,1,,aspartate racemase,L-Aspartate <=> D-Aspartate,R00491,5.1.1.13,K01779,Amino Acid Catabolism,racD,Aspartate racemase,1,-5.2,-5.2,,,,,,,,,3899,1
38,Aspartate,Aspartate Degradation,Degradation,1,2,D-aspartate oxidase,1,deamination and oxidation,D-Aspartate:oxygen oxidoreductase (deaminating),D-Aspartate + H2O + Oxygen <=> Oxaloacetate + Ammonia + Hydrogen peroxide,R00359,1.4.3.1,K00272,Amino Acid Catabolism,ddo,D-aspartate oxidase,1,-115.4,-98.3,,,,,,,,,,0
38,Aspartate,Aspartate Degradation,Degradation,1,3,Aspartate aminotransferase,1,,L-Aspartate:2-oxoglutarate aminotransferase,L-Aspartate + 2-Oxoglutarate <=> Oxaloacetate + L-Glutamate,R00355,2.6.1.1,K00812;K00813;K11358,Amino Acid Catabolism,got1,Aspartate aminotransferase 1,1,2.8,2.8,,,,,,,,,,1
38,Aspartate,Aspartate Degradation,Degradation,1,3,Aspartate aminotransferase,2,L-aspartate oxidase,L-Aspartic acid:oxygen oxidoreductase (deaminating),L-Aspartate + H2O + Oxygen <=> Oxaloacetate + Ammonia + Hydrogen peroxide,R00357,1.4.3.16,K00278,Amino Acid Catabolism,nadB,Aspartate aminotransferase 2,1,-110.2,-93.1,,,,,,,,,2630,1
110,Protein Degradation,Aspartic Protease,Degradation,1,1,Aspartic Protease 1,1,,,,,,ap1,Protein Degradation,ap1,Aspartic Protease 1,1,,,,,,,,,,,,0
110,Protein Degradation,Aspartic Protease,Degradation,1,2,Aspartic Protease 8,1,,,,,3.4.23.36,ap8,Protein Degradation,ap8,Aspartic Protease 8,1,,,,,,,,,,,2651,1
110,Protein Degradation,Aspartic Protease,Degradation,1,3,Aspartic Protease 24,1,,,,,,ap24,Protein Degradation,ap24,Aspartic Protease 24,1,,,,,,,,,,,2908,1
110,Protein Degradation,Aspartic Protease,Degradation,1,4,Aspartic Protease 32,1,,,,,,ap32,Protein Degradation,ap32,Aspartic Protease 32,1,,,,,,,,,,,2904,1
120,Benzoate,Benzoate Degradation,Degradation,1,1,Benzaldehyde dehydrogenase,1,,Benzaldehyde:NAD+ oxidoreductase,Benzaldehyde + NAD+ + H2O <=> Benzoate + NADH + H+,R01419,1.2.1.28,K00141,Aromatic Degradation,xylC,Benzaldehyde dehydrogenase,0,-44,-44,,,,1,,,,,3868,1
120,Benzoate,Benzoate Degradation,Degradation,1,2,"Benzoate/toluate 1,2-dioxygenase",1,,,"Benzoate + NADH + H+ + Oxygen <=> (1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate + NAD+",R05621,1.14.12.10,K05549,Aromatic Degradation,benA,"Benzoate/toluate 1,2-dioxygenase subunit alpha",1,-328.3,-345.4,,,,,1,,,,,1
120,Benzoate,Benzoate Degradation,Degradation,1,2,"Benzoate/toluate 1,2-dioxygenase",1,,,"Benzoate + NADH + H+ + Oxygen <=> (1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate + NAD+",R05621,1.14.12.10,K05550,Aromatic Degradation,benB,"Benzoate/toluate 1,2-dioxygenase subunit beta",1,-328.3,-345.4,,,,,1,,,,,1
120,Benzoate,Benzoate Degradation,Degradation,1,2,"Benzoate/toluate 1,2-dioxygenase",1,,,"Benzoate + NADH + H+ + Oxygen <=> (1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate + NAD+",R05621,1.14.12.10,K05784,Aromatic Degradation,benC,"Benzoate/toluate 1,2-dioxygenase reductase",1,-328.3,-345.4,,,,,1,,,,2011,1
120,Benzoate,Benzoate Degradation,Degradation,1,3,Dihydroxycyclohexadiene carboxylate dehydrogenase,1,,"(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+ oxidoreductase (decarboxylating)","(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate + NAD+ <=> Catechol + NADH + CO2 + H+",R00813,1.3.1.25,K05783,Aromatic Degradation,benD,Dihydroxycyclohexadiene carboxylate dehydrogenase,0,-108.3,-91.2,,,,1,,,,,3196,1
120,Benzoate,Benzoate Degradation,Degradation,1,4,"Catechol 1,2-dioxygenase",1,,"Catechol:oxygen 1,2-oxidoreductase(decyclizing)","Catechol + Oxygen <=> cis,cis-Muconate",R00817,1.13.11.1,K03381,Aromatic Degradation,catA,"Catechol 1,2-dioxygenase",1,-298.3,-315.4,,,,,,,,,,1
120,Benzoate,Benzoate Degradation,Degradation,1,5,Muconate cycloisomerase,1,,"2,5-Dihydro-5-oxofuran-2-acetate lyase (decyclizing)","2,5-Dihydro-5-oxofuran-2-acetate <=> cis,cis-Muconate",R03959,5.5.1.1,K01856,Aromatic Degradation,catB,Muconate cycloisomerase,0,0.6,0.6,,,,,,,,,705,1
120,Benzoate,Benzoate Degradation,Degradation,1,6,Muconolactone D-isomerase,1,,"(S)-5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase","(S)-5-Oxo-2,5-dihydrofuran-2-acetate <=> 2-Oxo-2,3-dihydrofuran-5-acetate",R06990,5.3.3.4,K03464,Aromatic Degradation,catC,Muconolactone D-isomerase,1,-16.1,-16.1,,,,,,,,,,1
120,Benzoate,Benzoate Degradation,Degradation,1,7,3-oxoadipate enol-lactonase,1,,4-carboxymethylbut-3-en-4-olide enol-lactonohydrolase,"2-Oxo-2,3-dihydrofuran-5-acetate + H2O <=> 3-Oxoadipate",R02991,3.1.1.24,K01055,Aromatic Degradation,pcaD,3-oxoadipate enol-lactonase,0,-24.6,-24.6,,,,,,,,,3353,1
120,Benzoate,Benzoate Degradation,Degradation,1,8,3-oxoadipate CoA-transferase,1,,Succinyl-CoA:3-oxoadipate CoA-transferase,Succinyl-CoA + 3-Oxoadipate <=> Succinate + 3-Oxoadipyl-CoA,R02990,2.8.3.6,K01031,Aromatic Degradation,pcaI,"3-oxoadipate CoA-transferase, alpha subunit",0,-3.4,-3.4,,,,,,,,,1922,1
