modelseed_id,kegg_id,equation,gene_id,ec_numbers,already_in_model,name,rxn_def,rev_dir
rxn00817,R01101,(1) H2O[0] + (1) Melibiose[0] => (1) D-Glucose[0] + (1) Galactose[0],TK37_RS19680,3.2.1.22,yes,melibiose galactohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd03198:0:0:""Melibiose"";1:cpd00027:0:0:""D-Glucose"";1:cpd00108:0:0:""Galactose""",<
rxn00831,R01126,(1) H2O[0] + (1) IMP[0] <=> (1) Phosphate[0] + (1) Inosine[0],TK37_RS00085,3.1.3.5;3.1.3.99,yes,Inosine 5'-monophosphate phosphohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00114:0:0:""IMP"";1:cpd00009:0:0:""Phosphate"";1:cpd00246:0:0:""Inosine""",=
rxn00834,R01130,(1) H2O[0] + (1) NAD[0] + (1) IMP[0] <=> (1) NADH[0] + (1) H+[0] + (1) XMP[0],TK37_RS18480,1.1.1.205,yes,IMP:NAD+ oxidoreductase,"-1:cpd00001:0:0:""H2O"";-1:cpd00003:0:0:""NAD"";-1:cpd00114:0:0:""IMP"";1:cpd00004:0:0:""NADH"";1:cpd00067:0:0:""H+"";1:cpd00497:0:0:""XMP""",=
rxn00867,R01168,(1) L-Histidine[0] => (1) NH3[0] + (1) Urocanate[0],TK37_RS19280,4.3.1.3,yes,L-histidine ammonia-lyase (urocanate-forming),"-1:cpd00119:0:0:""L-Histidine"";1:cpd00013:0:0:""NH3"";1:cpd00581:0:0:""Urocanate""",>
rxn00868,R01171,(1) NAD[0] + (1) Butyryl-CoA[0] <= (1) NADH[0] + (1) H+[0] + (1) Crotonyl-CoA[0],TK37_RS07910,1.3.1.44;1.3.8.1,yes,"Butanoyl-CoA:(acceptor) 2,3-oxidoreductase","-1:cpd00003:0:0:""NAD"";-1:cpd00120:0:0:""Butyryl-CoA"";1:cpd00004:0:0:""NADH"";1:cpd00067:0:0:""H+"";1:cpd00650:0:0:""Crotonyl-CoA""",=
rxn00869,R01172,(1) NAD[0] + (1) CoA[0] + (1) Butanal[0] <=> (1) NADH[0] + (1) H+[0] + (1) Butyryl-CoA[0],TK37_RS15745,1.2.1.57;1.2.1.10;1.2.1.87,no,butanal:NAD+ oxidoreductase (CoA-acylating),"-1:cpd00003:0:0:""NAD"";-1:cpd00010:0:0:""CoA"";-1:cpd01011:0:0:""Butanal"";1:cpd00004:0:0:""NADH"";1:cpd00067:0:0:""H+"";1:cpd00120:0:0:""Butyryl-CoA""",=
rxn00872,R01175,(1) FAD[0] + (1) Butyryl-CoA[0] <=> (1) Crotonyl-CoA[0] + (1) FADH2[0],TK37_RS04250;TK37_RS20075,1.3.8.1;1.3.3.6;1.3.99.-;1.3.99.2;1.3.99.3,yes,Butanoyl-CoA:oxygen 2-oxidoreductase,"-1:cpd00015:0:0:""FAD"";-1:cpd00120:0:0:""Butyryl-CoA"";1:cpd00650:0:0:""Crotonyl-CoA"";1:cpd00982:0:0:""FADH2""",=
rxn00881,R01185,(1) H2O[0] + (1) Inositol 1-phosphate[0] <=> (1) Phosphate[0] + (1) L-Inositol[0],TK37_RS12720,3.1.3.25,yes,1D-myo-Inositol 1-phosphate phosphohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00867:0:0:""Inositol 1-phosphate"";1:cpd00009:0:0:""Phosphate"";1:cpd00121:0:0:""L-Inositol""",>
rxn00898,R01209,"(1) 2,3-Dihydroxy-isovalerate[0] => (1) H2O[0] + (1) 3-Methyl-2-oxobutanoate[0]",TK37_RS14880,4.2.1.9,yes,"2,3-Dihydroxy-3-methylbutanoate hydro-lyase","-1:cpd02498:0:0:""2,3-Dihydroxy-isovalerate"";1:cpd00001:0:0:""H2O"";1:cpd00123:0:0:""3-Methyl-2-oxobutanoate""",>
rxn00908,R01221,(1) NAD[0] + (1) Glycine[0] + (1) Tetrahydrofolate[0] => (1) NADH[0] + (1) CO2[0] + (1) NH3[0] + (1) 5-10-Methylenetetrahydrofolate[0],TK37_RS12495;TK37_RS12490,2.1.2.10;1.4.1.27;1.4.4.2;1.8.1.4,no,glycine synthase,"-1:cpd00003:0:0:""NAD"";-1:cpd00033:0:0:""Glycine"";-1:cpd00087:0:0:""Tetrahydrofolate"";1:cpd00004:0:0:""NADH"";1:cpd00011:0:0:""CO2"";1:cpd00013:0:0:""NH3"";1:cpd00125:0:0:""5-10-Methylenetetrahydrofolate""",=
rxn00913,R01227,(1) H2O[0] + (1) GMP[0] <=> (1) Phosphate[0] + (1) Guanosine[0],TK37_RS00085,3.1.3.5,yes,Guanosine 5'-monophosphate phosphohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00126:0:0:""GMP"";1:cpd00009:0:0:""Phosphate"";1:cpd00311:0:0:""Guanosine""",=
rxn00929,R01248,(1) NAD[0] + (1) L-Proline[0] => (1) NADH[0] + (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0],TK37_RS03165,1.5.1.2,yes,L-Proline:NAD+ 5-oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd00129:0:0:""L-Proline"";1:cpd00004:0:0:""NADH"";2:cpd00067:0:0:""H+"";1:cpd02431:0:0:""1-Pyrroline-5-carboxylate""",=
rxn00931,R01251,(1) NADP[0] + (1) L-Proline[0] => (1) NADPH[0] + (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0],TK37_RS03165,1.5.1.2,yes,L-Proline:NADP+ 5-oxidoreductase,"-1:cpd00006:0:0:""NADP"";-1:cpd00129:0:0:""L-Proline"";1:cpd00005:0:0:""NADPH"";2:cpd00067:0:0:""H+"";1:cpd02431:0:0:""1-Pyrroline-5-carboxylate""",=
rxn00946,R01279,(1) FAD[0] + (1) Palmitoyl-CoA[0] <=> (1) FADH2[0] + (1) (2E)-Hexadecenoyl-CoA[0],TK37_RS10875;TK37_RS09010;TK37_RS09355;TK37_RS18115,1.3.8.7;1.3.99.-;1.3.3.6;1.3.8.9;1.3.99.13;1.3.99.3,yes,Palmitoyl-CoA:oxygen 2-oxidoreductase,"-1:cpd00015:0:0:""FAD"";-1:cpd00134:0:0:""Palmitoyl-CoA"";1:cpd00982:0:0:""FADH2"";1:cpd03126:0:0:""(2E)-Hexadecenoyl-CoA""",<
rxn00947,R01280,(1) ATP[0] + (1) CoA[0] + (1) Palmitate[0] => (1) PPi[0] + (1) AMP[0] + (1) H+[0] + (1) Palmitoyl-CoA[0],TK37_RS11660;TK37_RS08435,6.2.1.3,yes,Palmitate:CoA ligase (AMP-forming),"-1:cpd00002:0:0:""ATP"";-1:cpd00010:0:0:""CoA"";-1:cpd00214:0:0:""Palmitate"";1:cpd00012:0:0:""PPi"";1:cpd00018:0:0:""AMP"";1:cpd00067:0:0:""H+"";1:cpd00134:0:0:""Palmitoyl-CoA""",>
rxn00985,R01353,(1) ATP[0] + (1) Propionate[0] <=> (1) ADP[0] + (1) Propionyl phosphate[0],TK37_RS07010,2.7.2.1;2.7.2.15,no,ATP:propanoate phosphotransferase,"-1:cpd00002:0:0:""ATP"";-1:cpd00141:0:0:""Propionate"";1:cpd00008:0:0:""ADP"";1:cpd01844:0:0:""Propionyl phosphate""",=
rxn00991,R01360,(1) HMG-CoA[0] <=> (1) Acetyl-CoA[0] + (1) Acetoacetate[0],TK37_RS05565,4.1.3.4,yes,(S)-3-hydroxy-3-methylglutaryl-CoA acetoacetate-lyase (acetyl-CoA-forming),"-1:cpd00292:0:0:""HMG-CoA"";1:cpd00022:0:0:""Acetyl-CoA"";1:cpd00142:0:0:""Acetoacetate""",>
rxn00993,R01364,(1) H+[0] + (1) Fumarate[0] + (1) Acetoacetate[0] <= (1) H2O[0] + (1) Fumarylacetoacetate[0],TK37_RS11425,3.7.1.2,yes,4-fumarylacetoacetate fumarylhydrolase,"-1:cpd00067:0:0:""H+"";-1:cpd00106:0:0:""Fumarate"";-1:cpd00142:0:0:""Acetoacetate"";1:cpd00001:0:0:""H2O"";1:cpd00780:0:0:""Fumarylacetoacetate""",<
rxn01068,R01465,(1) NAD[0] + (1) L-Threonine[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-2-Amino-acetoacetate[0],TK37_RS10765,1.1.1.103,yes,L-threonine:NAD+ oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd00161:0:0:""L-Threonine"";1:cpd00004:0:0:""NADH"";1:cpd00067:0:0:""H+"";1:cpd02211:0:0:""L-2-Amino-acetoacetate""",=
rxn01080,R01482,(1) Glucuronate[0] <=> (1) D-Fructuronate[0],TK37_RS19140,5.3.1.12,yes,D-glucuronate aldose-ketose-isomerase,"-1:cpd00164:0:0:""Glucuronate"";1:cpd00672:0:0:""D-Fructuronate""",=
rxn01100,R01512,"(1) ATP[0] + (1) 3-Phosphoglycerate[0] <=> (1) ADP[0] + (1) 1,3-Bisphospho-D-glycerate[0]",TK37_RS04055,2.7.2.3,yes,ATP:3-phospho-D-glycerate 1-phosphotransferase,"-1:cpd00002:0:0:""ATP"";-1:cpd00169:0:0:""3-Phosphoglycerate"";1:cpd00008:0:0:""ADP"";1:cpd00203:0:0:""1,3-Bisphospho-D-glycerate""",=
rxn01106,R01518,(1) 2-Phospho-D-glycerate[0] <=> (1) 3-Phosphoglycerate[0],TK37_RS15640,5.4.2.11;5.4.2.12,yes,"2-Phospho-D-glycerate 2,3-phosphomutase","-1:cpd00482:0:0:""2-Phospho-D-glycerate"";1:cpd00169:0:0:""3-Phosphoglycerate""",=
rxn01115,R01528,(1) NADP[0] + (1) 6-Phospho-D-gluconate[0] => (1) NADPH[0] + (1) CO2[0] + (1) D-Ribulose5-phosphate[0],TK37_RS11050,1.1.1.44;1.1.1.343;1.1.1.351,yes,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),"-1:cpd00006:0:0:""NADP"";-1:cpd00284:0:0:""6-Phospho-D-gluconate"";1:cpd00005:0:0:""NADPH"";1:cpd00011:0:0:""CO2"";1:cpd00171:0:0:""D-Ribulose5-phosphate""",=
rxn01116,R01529,(1) D-Ribulose5-phosphate[0] <=> (1) D-Xylulose5-phosphate[0],TK37_RS17360,5.1.3.1,yes,D-Ribulose-5-phosphate 3-epimerase,"-1:cpd00171:0:0:""D-Ribulose5-phosphate"";1:cpd00198:0:0:""D-Xylulose5-phosphate""",=
rxn01123,R01541,(1) ATP[0] + (1) 2-keto-3-deoxygluconate[0] => (1) ADP[0] + (1) H+[0] + (1) 2-Keto-3-deoxy-6-phosphogluconate[0],TK37_RS15185;TK37_RS19125,2.7.1.45;2.7.1.178,yes,ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase,"-1:cpd00002:0:0:""ATP"";-1:cpd00176:0:0:""2-keto-3-deoxygluconate"";1:cpd00008:0:0:""ADP"";1:cpd00067:0:0:""H+"";1:cpd02711:0:0:""2-Keto-3-deoxy-6-phosphogluconate""",=
rxn01137,R01560,(1) H2O[0] + (1) H+[0] + (1) Adenosine[0] => (1) NH3[0] + (1) Inosine[0],TK37_RS12355;TK37_RS06105,3.5.4.4,yes,Adenosine aminohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00067:0:0:""H+"";-1:cpd00182:0:0:""Adenosine"";1:cpd00013:0:0:""NH3"";1:cpd00246:0:0:""Inosine""",=
rxn01141,R01564,(1) H2O[0] + (1) O2[0] + (1) Dimethylglycine[0] => (1) H2O2[0] + (1) Formaldehyde[0] + (1) Sarcosine[0],TK37_RS12795,2.4.2.1;1.5.3.10,no,"N,N-Dimethylglycine:oxygen oxidoreductase (demethylating)","-1:cpd00001:0:0:""H2O"";-1:cpd00007:0:0:""O2"";-1:cpd00756:0:0:""Dimethylglycine"";1:cpd00025:0:0:""H2O2"";1:cpd00055:0:0:""Formaldehyde"";1:cpd00183:0:0:""Sarcosine""",>
rxn01171,R01602,(1) D-Glucose[0] <=> (1) beta-D-Glucose[0],TK37_RS19715,5.1.3.3,no,D-glucose 1-epimerase,"-1:cpd00027:0:0:""D-Glucose"";1:cpd00190:0:0:""beta-D-Glucose""",=
rxn01188,R01627,(1) 3-Dehydroshikimate[0] => (1) H2O[0] + (1) Protocatechuate[0],TK37_RS04680,4.2.1.118,yes,3-dehydroshikimate hydro-lyase,"-1:cpd01716:0:0:""3-Dehydroshikimate"";1:cpd00001:0:0:""H2O"";1:cpd00197:0:0:""Protocatechuate""",>
rxn01200,R01641,(1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0] <=> (1) ribose-5-phosphate[0] + (1) D-Xylulose5-phosphate[0],TK37_RS04045,2.2.1.1,yes,Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase,"-1:cpd00102:0:0:""Glyceraldehyde3-phosphate"";-1:cpd00238:0:0:""Sedoheptulose7-phosphate"";1:cpd00101:0:0:""ribose-5-phosphate"";1:cpd00198:0:0:""D-Xylulose5-phosphate""",=
rxn01211,R01655,(1) H2O[0] + (1) 5-10-Methenyltetrahydrofolate[0] <= (1) H+[0] + (1) 10-Formyltetrahydrofolate[0],TK37_RS18435,3.5.4.9,yes,"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)","-1:cpd00001:0:0:""H2O"";-1:cpd00347:0:0:""5-10-Methenyltetrahydrofolate"";1:cpd00067:0:0:""H+"";1:cpd00201:0:0:""10-Formyltetrahydrofolate""",=
rxn01225,R01676,(1) H2O[0] + (1) H+[0] + (1) Guanine[0] => (1) NH3[0] + (1) XAN[0],TK37_RS17510,3.5.4.3,yes,Guanine aminohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00067:0:0:""H+"";-1:cpd00207:0:0:""Guanine"";1:cpd00013:0:0:""NH3"";1:cpd00309:0:0:""XAN""",>
rxn01275,R01737,(1) ATP[0] + (1) GLCN[0] => (1) ADP[0] + (1) H+[0] + (1) 6-Phospho-D-gluconate[0],TK37_RS07835,2.7.1.12,yes,ATP:D-Gluconate 6-phosphotransferase,"-1:cpd00002:0:0:""ATP"";-1:cpd00222:0:0:""GLCN"";1:cpd00008:0:0:""ADP"";1:cpd00067:0:0:""H+"";1:cpd00284:0:0:""6-Phospho-D-gluconate""",=
rxn01315,R01795,(1) O2[0] + (1) L-Phenylalanine[0] + (1) Tetrahydrobiopterin[0] => (1) H2O[0] + (1) L-Tyrosine[0] + (1) Dihydrobiopterin[0],TK37_RS11415,1.14.16.1,yes,"L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating)","-1:cpd00007:0:0:""O2"";-1:cpd00066:0:0:""L-Phenylalanine"";-1:cpd00233:0:0:""Tetrahydrobiopterin"";1:cpd00001:0:0:""H2O"";1:cpd00069:0:0:""L-Tyrosine"";1:cpd00231:0:0:""Dihydrobiopterin""",>
rxn01333,R01827,(1) Glyceraldehyde3-phosphate[0] + (1) Sedoheptulose7-phosphate[0] <=> (1) D-fructose-6-phosphate[0] + (1) D-Erythrose4-phosphate[0],TK37_RS03075,2.2.1.2,yes,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase,"-1:cpd00102:0:0:""Glyceraldehyde3-phosphate"";-1:cpd00238:0:0:""Sedoheptulose7-phosphate"";1:cpd00072:0:0:""D-fructose-6-phosphate"";1:cpd00236:0:0:""D-Erythrose4-phosphate""",=
,R01865,,TK37_RS12795,2.4.2.1,no,,,
rxn01366,R01876,(1) Phosphate[0] + (1) Uridine[0] <=> (1) Uracil[0] + (1) Ribose 1-phosphate[0],TK37_RS12795,2.4.2.2;2.4.2.3,no,Uridine:phosphate alpha-D-ribosyltransferase,"-1:cpd00009:0:0:""Phosphate"";-1:cpd00249:0:0:""Uridine"";1:cpd00092:0:0:""Uracil"";1:cpd00475:0:0:""Ribose 1-phosphate""",=
rxn01387,R01899,(1) NADP[0] + (1) Isocitrate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Oxalosuccinate[0],TK37_RS04280;TK37_RS06515,1.1.1.42,yes,Isocitrate:NADP+ oxidoreductase,"-1:cpd00006:0:0:""NADP"";-1:cpd00260:0:0:""Isocitrate"";1:cpd00005:0:0:""NADPH"";1:cpd00067:0:0:""H+"";1:cpd03187:0:0:""Oxalosuccinate""",=
rxn01439,R01961,(1) ATP[0] + (1) GLUM[0] => (1) ADP[0] + (1) H+[0] + (1) D-Glucosamine phosphate[0],TK37_RS02290,2.7.1.8;2.7.1.1,no,ATP:D-glucosamine 6-phosphotransferase,"-1:cpd00002:0:0:""ATP"";-1:cpd00276:0:0:""GLUM"";1:cpd00008:0:0:""ADP"";1:cpd00067:0:0:""H+"";1:cpd00288:0:0:""D-Glucosamine phosphate""",=
rxn01451,R01975,(1) NAD[0] + (1) (S)-3-Hydroxybutyryl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) Acetoacetyl-CoA[0],TK37_RS17080;TK37_RS01715,1.1.1.35;1.1.1.211,yes,(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd00842:0:0:""(S)-3-Hydroxybutyryl-CoA"";1:cpd00004:0:0:""NADH"";1:cpd00067:0:0:""H+"";1:cpd00279:0:0:""Acetoacetyl-CoA""",=
