rxn00999_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | Phenylpyruvate_oxygen_oxidoreductase_hydroxylating_decarboxylating_c0 | -1.0 O2_c0 + -1.0 Phenylpyruvate_c0 + 1.0 CO2_c0 + 1.0 2_Hydroxyphenylacetate_c0
rxn03419_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | formamidopyrimidine_nucleoside_triphosphate_amidohydrolase_c0 | -1.0 H2O_c0 + -1.0 Formamidopyrimidine_nucleoside_triphosphate_c0 + 1.0 Formate_c0 + 1.0 H_plus__c0 + 1.0 2_5_Diaminopyrimidine_nucleoside_triphosphate_c0
rxn07433_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | R07602_c0 | -1.0 Lipoamide_c0 + -1.0 3_Methyl_1_hydroxybutyl_TPP_c0 + 1.0 TPP_c0 + 1.0 S_3_Methylbutanoyl_dihydrolipoamide_E_c0
rxn03435_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | R_2_3_Dihydroxy_3_methylpentanoate_NADP_plus__oxidoreductase_isomerizing_c0 | -1.0 NADP_c0 + -1.0 2_3_Dihydroxy_3_methylvalerate_c0 + 1.0 NADPH_c0 + 1.0 H_plus__c0 + 1.0 R_3_Hydroxy_3_methyl_2_oxopentanoate_c0
rxn03421_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | 2_5_Diaminopyrimidine_nucleoside_triphosphate_mutase_c0 | -1.0 2_5_Diaminopyrimidine_nucleoside_triphosphate_c0 + 1.0 2_5_Diamino_6_5_triphosphoryl_3_4_trihydroxy_2_oxopentyl__amino_4_oxopyrimidine_c0
rxn06022_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | Acyl_carrier_protein_4_pantetheine_phosphohydrolase_c0 | -1.0 H2O_c0 + -1.0 ACP_c0 + 2.0 H_plus__c0 + 1.0 Phosphopantetheine_c0 + 1.0 apo_ACP_c0
rxn00058_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | Ferrocytochrome_c_oxygen_oxidoreductase_c0 | -1.0 O2_c0 + -4.0 H_plus__c0 + -4.0 Cytochrome_c2_plus__c0 + 2.0 H2O_c0 + 4.0 Cytochrome_c3_plus__c0
rxn03159_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | UDP_2_3_bis3_hydroxytetradecanoylglucosamine_2_3_bis_3_hydroxytetradecanoyl_alpha_D_glucosaminyl_1_phosphate_2_3_bis3_hydroxytetradecanoyl_glucosaminyltransferase_c0 | -1.0 UDP_2_3_bis3_hydroxytetradecanoylglucosamine_c0 + -1.0 Lipid_X_c0 + 1.0 UDP_c0 + 1.0 Lipid_A_disaccharide_c0
rxn00863_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | L_histidinal_NAD_plus__oxidoreductase_c0 | -1.0 H2O_c0 + -1.0 NAD_c0 + -1.0 L_Histidinal_c0 + 1.0 NADH_c0 + 2.0 H_plus__c0 + 1.0 L_Histidine_c0
rxn00986_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | ATP_propanoate_adenylyltransferase_c0 | -1.0 ATP_c0 + -1.0 Propionate_c0 + 1.0 PPi_c0 + 1.0 Propionyladenylate_c0
rxn06023_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | CoA_apo_acyl_carrier_protein_pantetheinephosphotransferase_c0 | -1.0 CoA_c0 + -1.0 apo_ACP_c0 + 1.0 Adenosine_3_5_bisphosphate_c0 + 1.0 ACP_c0
rxn07435_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | R07604_c0 | -1.0 Lipoamide_c0 + -1.0 2_Methyl_1_hydroxybutyl_TPP_c0 + 1.0 TPP_c0 + 1.0 S_2_Methylbutanoyl_dihydrolipoamide_E_c0
rxn03005_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | R04326_c0 | -2.0 H_plus__c0 + -1.0 Tetrahydrofolate_c0 + -1.0 N_Formyl_GAR_c0 + 1.0 H2O_c0 + 1.0 5_10_Methenyltetrahydrofolate_c0 + 1.0 GAR_c0
rxn00735_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | 2R_3S_3_methylmalate_NAD_plus__oxidoreductase_c0 | -1.0 NADH_c0 + -1.0 CO2_c0 + -1.0 2_Oxobutyrate_c0 + 1.0 NAD_c0 + 1.0 D_erythro_3_Methylmalate_c0
rxn11040_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | RXN_3341c_c0 | -1.0 NAD_c0 + -1.0 6_Phospho_D_gluconate_c0 + 1.0 NADH_c0 + 1.0 CO2_c0 + 1.0 D_Ribulose5_phosphate_c0
rxn00048_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | 6_7_Dimethyl_8_1_D_ribityllumazine_6_7_dimethyl_8_1_D_ribityllumazine_2_3_butanediyltransferase_c0 | -1.0 H_plus__c0 + -2.0 6_7_Dimethyl_8__1_D_ribityllumazine_c0 + 1.0 Riboflavin_c0 + 1.0 4__1_D_Ribitylamino_5_aminouracil_c0
rxn00675_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | Propionyladenylate_CoA_propionyltransferase_c0 | -1.0 CoA_c0 + -1.0 Propionyladenylate_c0 + 1.0 AMP_c0 + 1.0 H_plus__c0 + 1.0 Propionyl_CoA_c0
rxn07430_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | R07599_c0 | -1.0 TPP_c0 + -1.0 H_plus__c0 + -1.0 3_Methyl_2_oxobutanoate_c0 + 1.0 CO2_c0 + 1.0 2_Methyl_1_hydroxypropyl_TPP_c0
rxn03273_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | 3_Ketolactose_galactohydrolase_c0 | -1.0 H2O_c0 + -1.0 3_Ketolactose_c0 + 1.0 beta_D_Glucose_c0 + 1.0 3_Keto_beta_D_galactose_c0
rxn03047_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | ATP_pantothenate_4_phosphotransferase_c0 | -1.0 ATP_c0 + -1.0 N_Pantothenoylcysteine_c0 + 1.0 ADP_c0 + 1.0 H_plus__c0 + 1.0 R_4_Phosphopantothenoyl_L_cysteine_c0
