cycle,COBRAModel,iHS4156
194,1.376327671e-07,1e-07
195,1.376327671e-07,1e-07
196,1.376327671e-07,1e-07
197,1.376327671e-07,1e-07
198,1.376327671e-07,1e-07
199,1.376327671e-07,1e-07
200,1.376327671e-07,1e-07
201,1.376327671e-07,1e-07
202,1.376327671e-07,1e-07
203,1.376327671e-07,1e-07
204,1.376327671e-07,1e-07
205,1.376327671e-07,1e-07
206,1.376327671e-07,1e-07
207,1.376327671e-07,1e-07
208,1.376327671e-07,1e-07
209,1.376327671e-07,1e-07
210,1.376327671e-07,1e-07
211,1.376327671e-07,1e-07
212,1.376327671e-07,1e-07
213,1.376327671e-07,1e-07
214,1.376327671e-07,1e-07
215,1.376327671e-07,1e-07
216,1.376327671e-07,1e-07
217,1.376327671e-07,1e-07
218,1.376327671e-07,1e-07
219,1.376327671e-07,1e-07
220,1.376327671e-07,1e-07
221,1.376327671e-07,1e-07
222,1.376327671e-07,1e-07
223,1.376327671e-07,1e-07
224,1.376327671e-07,1e-07
225,1.376327671e-07,1e-07
226,1.376327671e-07,1e-07
227,1.376327671e-07,1e-07
228,1.376327671e-07,1e-07
229,1.376327671e-07,1e-07
230,1.376327671e-07,1e-07
231,1.376327671e-07,1e-07
232,1.376327671e-07,1e-07
233,1.376327671e-07,1e-07
234,1.376327671e-07,1e-07
235,1.376327671e-07,1e-07
236,1.376327671e-07,1e-07
237,1.376327671e-07,1e-07
238,1.376327671e-07,1e-07
239,1.376327671e-07,1e-07
240,1.376327671e-07,1e-07
241,1.376327671e-07,1e-07
242,1.376327671e-07,1e-07
243,1.376327671e-07,1e-07
244,1.376327671e-07,1e-07
245,1.376327671e-07,1e-07
246,1.376327671e-07,1e-07
247,1.376327671e-07,1e-07
248,1.376327671e-07,1e-07
249,1.3764435595e-07,1e-07
250,1.3767347764e-07,1e-07
251,1.3772002986e-07,1e-07
252,1.377838986e-07,1e-07
253,1.3786496484e-07,1e-07
254,1.379630985e-07,1e-07
255,1.380781603e-07,1e-07
256,1.3821000168e-07,1e-07
257,1.3835846485e-07,1e-07
258,1.3852338278e-07,1e-07
259,1.3870457919e-07,1e-07
260,1.3890186858e-07,1e-07
261,1.391150562e-07,1e-07
262,1.3934393805e-07,1e-07
263,1.3958830092e-07,1e-07
264,1.3984792236e-07,1e-07
265,1.4012257071e-07,1e-07
266,1.4041200511e-07,1e-07
267,1.4071597551e-07,1e-07
268,1.4103422268e-07,1e-07
269,1.4136647828e-07,1e-07
270,1.4171246486e-07,1e-07
271,1.4207189588e-07,1e-07
272,1.424444758e-07,1e-07
273,1.4282990011e-07,1e-07
274,1.4322785539e-07,1e-07
275,1.4363801938e-07,1e-07
276,1.4406006106e-07,1e-07
277,1.4449364074e-07,1e-07
278,1.4493841016e-07,1e-07
279,1.4539401258e-07,1e-07
280,1.4586008292e-07,1e-07
281,1.4633624788e-07,1e-07
282,1.4682212606e-07,1e-07
283,1.4731732814e-07,1e-07
284,1.4782145704e-07,1e-07
285,1.4833410806e-07,1e-07
286,1.488548691e-07,1e-07
287,1.4938332088e-07,1e-07
288,1.4991903706e-07,1e-07
289,1.5046158457e-07,1e-07
290,1.5101052377e-07,1e-07
291,1.5156540873e-07,1e-07
292,1.5212578747e-07,1e-07
293,1.5269120224e-07,1e-07
294,1.5326118981e-07,1e-07
295,1.5383528175e-07,1e-07
296,1.5441300471e-07,1e-07
297,1.549938808e-07,1e-07
298,1.5557742784e-07,1e-07
299,1.5616315976e-07,1e-07
300,1.5675058688e-07,1e-07
301,1.5733921633e-07,1e-07
302,1.5792855237e-07,1e-07
303,1.5851809675e-07,1e-07
304,1.5910734915e-07,1e-07
305,1.596958075e-07,1e-07
306,1.6028296842e-07,1e-07
307,1.6086832758e-07,1e-07
308,1.6145138013e-07,1e-07
309,1.6203162113e-07,1e-07
310,1.6260854591e-07,1e-07
311,1.6318165053e-07,1e-07
312,1.6375043219e-07,1e-07
313,1.6431438968e-07,1e-07
314,1.6487302374e-07,1e-07
315,1.6542583758e-07,1e-07
316,1.6597233723e-07,1e-07
317,1.66512032e-07,1e-07
318,1.6704443493e-07,1e-07
319,1.675690632e-07,1e-07
320,1.6808543854e-07,1e-07
321,1.6859308768e-07,1e-07
322,1.6909154277e-07,1e-07
323,1.6958034179e-07,1e-07
324,1.7005902896e-07,1e-07
325,1.7052715517e-07,1e-07
326,1.7098427838e-07,1e-07
327,1.7142996401e-07,1e-07
328,1.7186378534e-07,1e-07
329,1.7228532391e-07,1e-07
330,1.7269416989e-07,1e-07
331,1.7308992245e-07,1e-07
332,1.7347219016e-07,1e-07
333,1.738405913e-07,1e-07
334,1.7419475426e-07,1e-07
335,1.7453431783e-07,1e-07
336,1.7485893159e-07,1e-07
337,1.7516825619e-07,1e-07
338,1.7546196367e-07,1e-07
339,1.757397378e-07,1e-07
340,1.7600127431e-07,1e-07
341,1.7624628123e-07,1e-07
