id	name	equation	equation_with_names	lower_bound	upper_bound	gene_reaction_rule	subsystem
rxn08310_c0	CDP-diacylglycerol synthetase (n-C16:1) [c0]	cpd00052_c0 + cpd15525_c0 --> cpd00012_c0 + cpd00067_c0 + cpd15418_c0	CTP + 1,2-(9Z)-hexadecenoyl-sn-glycerol-3-phosphate --> PPi + H+ + CDP-1,2-di-(9Z)-hexadecenoylglycerol	0.0	1000.0	WP_014948557.1	
rxn00915_c0	GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase [c0]	cpd00103_c0 + cpd00207_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00126_c0	PRPP + Guanine --> PPi + H+ + GMP	0.0	1000.0	WP_014949139.1	
rxn02853_c0	Imidazole acetaldehyde:NAD+ oxidoreductase [c0]	cpd00001_c0 + cpd00003_c0 + cpd03052_c0 --> cpd00004_c0 + 2.0 cpd00067_c0 + cpd01831_c0	H2O + NAD + Imidazole acetaldehyde --> NADH + 2.0 H+ + 4-Imidazoleacetate	0.0	1000.0	WP_014950281.1 or WP_049588355.1	
rxn01515_c0	dTTP:cytidine 5'-phosphotransferase [c0]	cpd00357_c0 + cpd00367_c0 --> cpd00046_c0 + cpd00067_c0 + cpd00297_c0	TTP + Cytidine --> CMP + H+ + dTDP	0.0	1000.0	WP_014950808.1	
rxn10224_c0	anteisopentadecanoyl-phosphatidate cytidylyltransferase [c0]	cpd00052_c0 + cpd15681_c0 --> cpd00012_c0 + cpd00067_c0 + cpd15687_c0	CTP + 1,2-di-12-methyltetradecanoyl-sn-glycerol-3-phosphate --> PPi + H+ + CDP-1,2-di-12-methyltetradecanoylglycerol	0.0	1000.0	WP_014948557.1	
rxn05337_c0	(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase [c0]	cpd00006_c0 + cpd11479_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd11486_c0	NADP + (3R)-3-Hydroxyhexanoyl-ACP <=> NADPH + H+ + 3-Oxohexanoyl-ACP	-1000.0	1000.0	WP_014976326.1	
rxn01477_c0	6-Phospho-D-gluconate hydro-lyase(2-dehydro-3-deoxy-6-phospho-D-gluconate-forming) [c0]	cpd00284_c0 --> cpd00001_c0 + cpd02711_c0	6-Phospho-D-gluconate --> H2O + 2-Keto-3-deoxy-6-phosphogluconate	0.0	1000.0	WP_014998717.1	
rxn01653_c0	5-Formyltetrahydrofolate cyclo-ligase (ADP-forming) [c0]	cpd00002_c0 + cpd02197_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00347_c0	ATP + 5-Formyltetrahydrofolate --> ADP + Phosphate + 5-10-Methenyltetrahydrofolate	0.0	1000.0	WP_080986378.1	
rxn00474_c0	L-serine hydro-lyase (adding indole; L-tryptophan-forming) [c0]	cpd00054_c0 + cpd00359_c0 --> cpd00001_c0 + cpd00065_c0	L-Serine + indol --> H2O + L-Tryptophan	0.0	1000.0	WP_049586836.1 and WP_049586837.1	
rxn03147_c0	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming) [c0]	cpd00002_c0 + cpd00041_c0 + cpd02893_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd02921_c0	ATP + L-Aspartate + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole --> ADP + Phosphate + H+ + SAICAR	0.0	1000.0	WP_014949658.1	
