modelseed_id,kegg_id,equation,gene_id,ec_numbers,already_in_model,name,rxn_def,rev_dir
rxn00006,R00009,(2) H2O2[0] => (2) H2O[0] + (1) O2[0],WP_049588336.1;WP_014977393.1,1.11.1.6;1.11.1.21,yes,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,"-2:cpd00025:0:0:""H2O2"";2:cpd00001:0:0:""H2O"";1:cpd00007:0:0:""O2""",>
rxn00011,R00014,(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] => (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0],WP_049588309.1;WP_014975513.1,1.2.4.1;2.2.1.6;4.1.1.1,yes,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),"-1:cpd00011:0:0:""CO2"";-1:cpd03049:0:0:""2-Hydroxyethyl-ThPP"";1:cpd00020:0:0:""Pyruvate"";1:cpd00056:0:0:""TPP"";1:cpd00067:0:0:""H+""",<
rxn00126,R00177,(1) H2O[0] + (1) ATP[0] + (1) L-Methionine[0] <= (1) Phosphate[0] + (1) PPi[0] + (1) S-Adenosyl-L-methionine[0] + (1) H+[0],WP_049586187.1,2.5.1.6,yes,ATP:L-methionine S-adenosyltransferase,"-1:cpd00001:0:0:""H2O"";-1:cpd00002:0:0:""ATP"";-1:cpd00060:0:0:""L-Methionine"";1:cpd00009:0:0:""Phosphate"";1:cpd00012:0:0:""PPi"";1:cpd00017:0:0:""S-Adenosyl-L-methionine"";1:cpd00067:0:0:""H+""",>
rxn00141,R00192,(1) H2O[0] + (1) S-Adenosyl-homocysteine[0] <=> (1) Homocysteine[0] + (1) Adenosine[0],WP_014950659.1,3.13.2.1;3.3.1.1,yes,S-Adenosyl-L-homocysteine hydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00019:0:0:""S-Adenosyl-homocysteine"";1:cpd00135:0:0:""Homocysteine"";1:cpd00182:0:0:""Adenosine""",=
rxn00147,R00199,(1) H2O[0] + (1) ATP[0] + (1) Pyruvate[0] => (1) Phosphate[0] + (1) AMP[0] + (1) Phosphoenolpyruvate[0] + (3) H+[0],WP_049586697.1,2.7.9.2,yes,"ATP:pyruvate,water phosphotransferase","-1:cpd00001:0:0:""H2O"";-1:cpd00002:0:0:""ATP"";-1:cpd00020:0:0:""Pyruvate"";1:cpd00009:0:0:""Phosphate"";1:cpd00018:0:0:""AMP"";1:cpd00061:0:0:""Phosphoenolpyruvate"";3:cpd00067:0:0:""H+""",>
rxn00148,R00200,(1) ATP[0] + (1) Pyruvate[0] <=> (1) ADP[0] + (1) Phosphoenolpyruvate[0] + (1) H+[0],WP_014949855.1,2.7.1.40,yes,ATP:pyruvate 2-O-phosphotransferase,"-1:cpd00002:0:0:""ATP"";-1:cpd00020:0:0:""Pyruvate"";1:cpd00008:0:0:""ADP"";1:cpd00061:0:0:""Phosphoenolpyruvate"";1:cpd00067:0:0:""H+""",=
rxn00154,R00209,(1) NAD[0] + (1) CoA[0] + (1) Pyruvate[0] => (1) NADH[0] + (1) CO2[0] + (1) Acetyl-CoA[0],WP_049586089.1;WP_049586087.1,1.2.1.104;1.2.1.-;1.2.1.M10;1.2.4.1;1.8.1.4;2.3.1.12,no,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating),"-1:cpd00003:0:0:""NAD"";-1:cpd00010:0:0:""CoA"";-1:cpd00020:0:0:""Pyruvate"";1:cpd00004:0:0:""NADH"";1:cpd00011:0:0:""CO2"";1:cpd00022:0:0:""Acetyl-CoA""",=
rxn00159,R00214,(1) NAD[0] + (1) L-Malate[0] => (1) NADH[0] + (1) CO2[0] + (1) Pyruvate[0],VTP50440.1,1.1.1.38;1.1.1.39,yes,(S)-malate:NAD+ oxidoreductase (decarboxylating),"-1:cpd00003:0:0:""NAD"";-1:cpd00130:0:0:""L-Malate"";1:cpd00004:0:0:""NADH"";1:cpd00011:0:0:""CO2"";1:cpd00020:0:0:""Pyruvate""",=
rxn00165,R00220,(1) L-Serine[0] => (1) NH3[0] + (1) Pyruvate[0],WP_049586260.1,4.3.1.17;4.2.1.13;4.3.1.19,yes,L-serine ammonia-lyase,"-1:cpd00054:0:0:""L-Serine"";1:cpd00013:0:0:""NH3"";1:cpd00020:0:0:""Pyruvate""",>
rxn15021,R00226,(1) CO2[0] + (1) (S)-2-Acetolactate[0] <= (2) Pyruvate[0] + (1) H+[0],WP_049588309.1;WP_014975513.1,2.2.1.6;4.1.3.18,yes,pyruvate:pyruvate acetaldehydetransferase (decarboxylating),"-1:cpd00011:0:0:""CO2"";-1:cpd19047:0:0:""(S)-2-Acetolactate"";2:cpd00020:0:0:""Pyruvate"";1:cpd00067:0:0:""H+""",<
rxn00171,R00228,(1) NAD[0] + (1) CoA[0] + (1) Acetaldehyde[0] <=> (1) NADH[0] + (1) Acetyl-CoA[0] + (1) H+[0],WP_049588588.1,1.2.1.10,yes,acetaldehyde:NAD+ oxidoreductase (CoA-acetylating),"-1:cpd00003:0:0:""NAD"";-1:cpd00010:0:0:""CoA"";-1:cpd00071:0:0:""Acetaldehyde"";1:cpd00004:0:0:""NADH"";1:cpd00022:0:0:""Acetyl-CoA"";1:cpd00067:0:0:""H+""",=
rxn00173,R00230,(1) Phosphate[0] + (1) Acetyl-CoA[0] <=> (1) CoA[0] + (1) Acetylphosphate[0],WP_049586784.1,2.3.1.8,yes,acetyl-CoA:phosphate acetyltransferase,"-1:cpd00009:0:0:""Phosphate"";-1:cpd00022:0:0:""Acetyl-CoA"";1:cpd00010:0:0:""CoA"";1:cpd00196:0:0:""Acetylphosphate""",=
rxn00175,R00235,(1) ATP[0] + (1) CoA[0] + (1) Acetate[0] => (1) PPi[0] + (1) AMP[0] + (1) Acetyl-CoA[0] + (1) H+[0],WP_049586975.1,6.2.1.1,yes,Acetate:CoA ligase (AMP-forming),"-1:cpd00002:0:0:""ATP"";-1:cpd00010:0:0:""CoA"";-1:cpd00029:0:0:""Acetate"";1:cpd00012:0:0:""PPi"";1:cpd00018:0:0:""AMP"";1:cpd00022:0:0:""Acetyl-CoA"";1:cpd00067:0:0:""H+""",>
rxn00178,R00238,(2) Acetyl-CoA[0] <=> (1) CoA[0] + (1) Acetoacetyl-CoA[0],WP_049586525.1;WP_049585851.1,2.3.1.9;2.3.1.16,yes,Acetyl-CoA:acetyl-CoA C-acetyltransferase,"-2:cpd00022:0:0:""Acetyl-CoA"";1:cpd00010:0:0:""CoA"";1:cpd00279:0:0:""Acetoacetyl-CoA""",=
rxn00179,R00239,(1) ATP[0] + (1) L-Glutamate[0] <=> (1) ADP[0] + (1) L-Glutamyl 5-phosphate[0],WP_049587803.1,2.7.2.11,yes,ATP:L-glutamate 5-phosphotransferase,"-1:cpd00002:0:0:""ATP"";-1:cpd00023:0:0:""L-Glutamate"";1:cpd00008:0:0:""ADP"";1:cpd02097:0:0:""L-Glutamyl 5-phosphate""",=
rxn00182,R00243,(1) H2O[0] + (1) NAD[0] + (1) L-Glutamate[0] <=> (1) NADH[0] + (1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) H+[0],WP_049587790.1;WP_049586292.1,1.4.1.2;1.4.1.3;1.4.1.4,yes,L-glutamate:NAD+ oxidoreductase (deaminating),"-1:cpd00001:0:0:""H2O"";-1:cpd00003:0:0:""NAD"";-1:cpd00023:0:0:""L-Glutamate"";1:cpd00004:0:0:""NADH"";1:cpd00013:0:0:""NH3"";1:cpd00024:0:0:""2-Oxoglutarate"";1:cpd00067:0:0:""H+""",=
,R00243;R00248,,WP_049587678.1,1.4.1.3,no,,,
rxn00183,R00245,(1) H2O[0] + (1) NAD[0] + (1) L-Glutamate5-semialdehyde[0] <=> (1) NADH[0] + (1) L-Glutamate[0] + (2) H+[0],WP_014950684.1,1.2.1.88;1.5.1.12,yes,L-Glutamate 5-semialdehyde:NAD+ oxidoreductase,"-1:cpd00001:0:0:""H2O"";-1:cpd00003:0:0:""NAD"";-1:cpd00858:0:0:""L-Glutamate5-semialdehyde"";1:cpd00004:0:0:""NADH"";1:cpd00023:0:0:""L-Glutamate"";2:cpd00067:0:0:""H+""",=
