condition,substrate,growth_rate
single,glutamic acid,0.7095282042849568
single,alanine,0.5854568237974624
single,valine,0.519977615803767
single,aspartate,0.6106959003950997
single,isoleucine,0.5729582543713115
single,leucine,0.4992881333706772
single,glycine,0.5738177839857211
single,proline,0.7022275988679445
cocktail,cocktail,1.5448286673581977
