condition,substrate,growth_rate
single,glutamic acid,0.7095282042850208
single,valine,0.519977615803767
single,isoleucine,0.5729582543713115
single,alanine,0.5854568237974624
single,leucine,0.4992881333706772
single,aspartate,0.6106959003950997
single,proline,0.7022275988679445
single,glycine,0.5738177839857211
cocktail,cocktail,0.6477702007735894
sum_of_parts,sum_of_parts,0.6263011181913006
